video_id,publishedAt,channelId,title,description,channelTitle,tags,viewCount,likeCount,favoriteCount,commentCount,duration_timedelta,duration_hhmmss
uGtc9Bu9Txk,2020-12-31T23:00:10Z,UCArk93C2pbOvkv6jWz-3kAg,🍾 FORD KIERNAN HOGMANAY SPECIAL! | Open Goal,"SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

It's Hogmanay and there's only one place to bring in the bells and that's with Open Goal! The lads are joined by Scottish Comedy Legend and Still Game star, Ford Kiernan as we finally say goodbye to 2020!",Open Goal,"['open goal', 'si ferry', 'still game', 'jack and victor', 'hogmanay', ""new year's eve"", 'nye', 'chewin the fat', 'only excuse', 'still game hogmanay', 'winston', 'navid', 'ford Kiernan', 'greg hemphill', 'still game cairds', 'still game martin', 'Christmas special', 'stauner', 'best bits', 'big man', 'football coach', 'villiers', 'banter', 'invisible boss', 'celtic rangers', 'neil lennon', 'Andy halliday', 'slaney', 'spfl', 'highlights', 'Steven gerrard', 'aberdeen', 'scottish football', 'podcast', 'burnistoun', 'hibs', 'hearts', 'isa', 'tam', 'turnbull', 'roofe', 'funny', 'f2']",205682,2286,0,112,0 days 01:21:55,01:21:55
vAGmV-mRRT0,2020-12-24T07:00:08Z,UCArk93C2pbOvkv6jWz-3kAg,CHRISTMAS EVE SPECIAL | Right in the Coupon w/ Who Knows Wins,"SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

It's Christmas time and the boys are getting into the festive spirit of things as we look into what is going to be a crucial period in the SPFL Premiership season.",Open Goal,"['open goal', 'si ferry', 'betting', 'slaney', 'Paul slane', 'Andy halliday', 'celtic', 'scottish cup', 'celtic ross county', 'celtic goals', 'st johnstone rangers', 'rangers goals', 'spfl', 'spfl highlights', 'jamie carragher', 'keeping the ball on the ground', 'aberdeen', 'Barry ferguson', 'sky sports', 'frank mcavennie', 'prank', 'christmas', 'hearts', 'hibs', 'hibernian', 'motherwell', 'covid', 'podcast', 'open goal misses', 'gary neville', 'plz soccer', 'kieran tierney', 'f2', 'copa 90', 'fourfourtwo', 'neil lennon', 'Steven gerrard', 'edouard', 'roofe', 'morelos']",63357,742,0,30,0 days 00:44:31,00:44:31
m54LPZSlStQ,2020-12-22T17:00:20Z,UCArk93C2pbOvkv6jWz-3kAg,EPIC CUP FINAL REVIEW | Keeping the Ball on the Ground,"SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

Loads to talk about this week as Celtic and Hearts engaged in a Cup Final thriller at Hampden. The boys discuss the Jambos' spirited comeback, Celtic's performance and of course review our man Andy Halliday's display!

Si, Slaney and Kev also talk over the weekend's SPFL results, celebrities playing football and when big-time players drop down into the reserves!",Open Goal,"['open goal', 'si ferry', 'celtic vs hearts', 'ajer', 'penalties', 'Scott brown', 'naismith', 'Andy halliday', 'neil lennon', 'scottish cup final', 'penalty shootout', 'edouard', 'christie goal', 'spfl', 'spfl highlights', 'football', 'rangers', 'motherwell', 'roofe', 'Steven gerrard', 'jamie carragher', 'aberdeen', 'hibs', 'hibernian', 'robbie neilson', 'premier league', 'podcast', 'slaney', 'soccer am', 'talksport', 'Paul slane', 'hazard save', 'celtic unique angle', 'plz soccer', 'liverpool', 'open goal misses', 'scottish football', 'celtic fans', 'sky sports']",85262,976,0,63,0 days 01:06:12,01:06:12
1RcFj1Sfs58,2020-12-21T17:00:03Z,UCArk93C2pbOvkv6jWz-3kAg,JAMIE CARRAGHER | Open Goal Meets...,"SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

We've got an absolute cracker for you this week as Si and Slaney are joined by Liverpool Legend and Sky Sports pundit, Jamie Carragher to talk through his illustrious career at Anfield and share some of his best stories from his time in the game!
-------------------------------
BUY JAMIE CARRAGHER'S THE GREATEST GAMES BOOK NOW!
--------------------------------
Andy Robertson Interview - https://www.youtube.com/watch?v=AFuc2CuCZUc&t=1548s

Kieran Tierney Interview - https://www.youtube.com/watch?v=i_Ibl92_FoA

Ally McCoist Interview - https://www.youtube.com/watch?v=QJftaIBp_7o&t=1358s

Damien Duff Interview  - https://www.youtube.com/watch?v=ccNcWnC3Mbc&t=2448s

#LiverpoolFC #OpenGoal #PremierLeague",Open Goal,"['open goal', 'si ferry', 'Jamie Carragher', 'Liverpool', ""You'll Never Walk Alone"", 'Jordan Henderson', 'Andy Robertson', '6 Times European Cups', 'istanbul', 'Steven gerrard', 'Jurgen klopp', 'sky sports', 'Monday night football', 'anfield', 'gary neville', 'Carragher neville funny', 'darren Farley carragher', 'Carragher impression', 'Carragher henry', 'Brendan rodgers', 'laugh', 'open goal misses', 'Andy halliday', 'celtic', 'rangers', 'talksport', 'salah', 'Liverpool goals', 'mane', 'origi', 'wingmen', 'trent', 'Andy robertson', 'f2', 'podcast', 'nani', 'sky']",855101,4966,0,661,0 days 02:22:14,02:22:14
MaJhyEr6csQ,2020-12-17T17:25:28Z,UCArk93C2pbOvkv6jWz-3kAg,CELTIC v HEARTS & ST MIRREN END RANGERS UNBEATEN RUN | Right in the Coupon w/ Who Knows Wins,"SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

The lads look ahead to the big Cup Final on Sunday between Celtic and Hearts as well as discuss the drama from the previous nights' League Cup fixtures. Are the Hibees' name written on the cup or will the giant killers St Mirren fancy their chances after ending Rangers unbeaten run?",Open Goal,"['open goal', 'si ferry', 'celtic v hearts', 'Scottish cup final', 'neil lennon', 'soro', 'turnbull', 'Scott brown', 'hampden', 'heart of midlothian', 'robbie neilson', 'premier sports', 'Andy halliday', 'slaney', 'Paul slane', 'frank mcavennie', 'keeping the ball on the ground', 'Barry ferguson', 'st Mirren v rangers', 'league cup', 'highlights', '3-2 rangers st mirren', 'tavernier', 'spfl', 'spfl highlights', 'hibs', 'jack ross', 'easter road', 'aberdeen', 'lewis ferguson', 'derek', 'podcast', 'football', 'open goal misses', 'edouard', 'celtic fans', 'song']",64383,659,0,49,0 days 00:45:40,00:45:40
BA057QKYWVo,2020-12-15T17:00:10Z,UCArk93C2pbOvkv6jWz-3kAg,SCOTTISH CUP FINAL PREVIEW | Keeping the Ball on the Ground,"SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

It's a big weekend in the Scottish Football calendar as we have a festive Cup Final to look ahead to as Celtic take on Andy Halliday's Hearts at Hampden Park. Will Celtic's recent upturn in form see them clinch an historic Quadruple Treble or will the Jambos add another chapter to the Hoops' so far disappointing season?

The boys also discuss another wonder display from Rangers' James Tavernier as well as Chipper's position at Hamilton, Hibs hitting form and was last weekend's Manchester Derby the worst ever?",Open Goal,"['open goal', 'si ferry', 'lewis capaldi', 'Andy halliday', 'Scottish cup final', 'celtic vs hearts', 'edouard', 'celtic goals', 'neil lennon', 'Shane duffy', 'Hampden', 'robbie neilson', 'naismith', 'boyce', 'rangers', 'tavernier', 'free kick', 'rangers goals', 'dundee united', 'hibs', 'spfl', 'spfl highlights', 'football', 'podcast', 'Paul slane', 'Laura anderson', 'slaney', 'ally mccoist', 'funny', 'open goal misses', 'scotland', 'Manchester derby', 'jack ross', 'aberdeen', 'scottish football', 'turnbull', 'soro', 'Scott brown', 'trophy', 'Craig beattie', 'copa 90']",90366,997,0,75,0 days 01:00:49,01:00:49
xgkHjgCM6e4,2020-12-14T17:00:32Z,UCArk93C2pbOvkv6jWz-3kAg,"Si Ferry Meets... Jon Daly | Cup Winner w/ Dundee Utd, Signing for Rangers, Hearts Interim Role","SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

This week Si is joined by former big target man Jon Daly who discusses his route to Tanandice which saw him become a club legend by securing a Scottish Cup with Dundee United. 

He also discusses his move to Rangers as he became the club's first ever Irish Catholic player and he talks about some of the terrible abuse received following the move.

The big man also touches upon his coaching career with Hearts which led to him stepping in as interim manager twice before eventually having a controversial exit once new man Daniel Stendel arrived at Tynecastle.

#DundeeUnited #Rangers #Hearts",Open Goal,"['open goal', 'si ferry', 'rangers', 'Steven gerrard', 'ireland', 'rangers fans', 'rangers goals', 'spfl highlights', 'dundee united', 'tavernier', 'Tavernier free kick', 'goldson', 'morelos', 'europa league', 'champions league', 'royal antwerp', 'Scottish cup final', 'celtic', 'hearts', 'Andy halliday', 'Craig levein', 'plz soccer', 'tannadice', 'Jonny russell', 'Dundee United ross county', 'stockport county', 'hartlepool', 'Jeff stelling', 'podcast', 'football', 'irish catholic', 'sectarianism', 'soccer am', 'ally mccoist', 'Paul slane', 'f2', 'copa 90']",53065,437,0,43,0 days 01:41:23,01:41:23
yibZKypGQRM,2020-12-10T18:28:52Z,UCArk93C2pbOvkv6jWz-3kAg,TAVERNIER ONE OF THE BEST RIGHT-BACKS IN BRITAIN?? | Right in the Coupon w/ Who Knows Wins,"Slaney is deputising as host again while Si is off but this time on the coupon show with Frank & Derek! The big question is however... who will be looking after Slaney's leaderboard this week?

The boys discuss where on-form Tavernier ranks among Britain's top right-back at the minute as well as their thoughts on St Mirren and Killie's forfeited games and whether Celtic can turn round their recent dismal rut.",Open Goal,"['open goal', 'si ferry', 'Celtic', 'Celtic Lille', 'Rangers poznan', 'Neil lennon', 'Europa League', 'SPFL', 'SPFL highlights', 'Celtic goals', 'Rangers goals', 'Steven Gerrard', 'Morelos', 'Tavernier', 'Ryan Kent', 'Roofe', 'Edouard', 'Scott Brown', 'Scotland', 'Aberdeen', 'Hearts', 'Hibs', 'Andy Halliday', 'Paul Slane', 'Scottish football', 'Podcast', 'Betting', 'itten', 'hagi', 'soccer am', 'copa 90', 'frank mcavennie', 'west ham', 'Barry ferguson', 'plz soccer', 'maradona', 'prank', 'Laura anderson', 'dating', 'keeping the ball on the ground', 'James english', 'f2']",65107,758,0,32,0 days 00:51:30,00:51:30
ZJJ2KbWiWmM,2020-12-08T17:00:09Z,UCArk93C2pbOvkv6jWz-3kAg,SLANEY HOSTS THE SHOW! | Keeping the Ball on the Ground,"SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

Sponsor - CoVault is an ultra-flexible workspace company that offers month-to-month contracts for micro and small businesses - with 19 locations across Scotland.

Things are a bit different this week as Slaney is stepping in for Si as host of the podcast... will the Slane Dog step up to the mark??

Andy and Kev join Slaney to chat about James Tavernier's Player of the Year form, who will Rangers fancy in the next round of the Europa League, the ongoing issues at Celtic, St Mirren and Killie's forfeited games and of course the lads review Slaney's date with Laura Anderson from Love Island.",Open Goal,"['open goal', 'si ferry', 'Laura anderson', 'love island', 'slaney', 'Paul slane', 'celtic', 'neil lennon', 'celtic fans', 'celtic st johnstone', 'europa league', 'celtic lille', 'James tavernier', 'rangers goals', 'Steven gerrard', 'spfl', 'spfl highlights', 'morelos', 'roofe', 'podcast', 'football', 'Andy halliday', 'kilmarnock', 'aberdeen', 'hearts', 'hibs', 'hibernian', 'Celtic park', 'scotland', 'Andy robertson', 'kieran tierney', 'ally mccoist', 'funny', 'open goal misses', 'kick off', 'soccer am', 'copa 90', 'plz soccer', 'Barry ferguson', 'ireland', 'keane']",124751,1548,0,130,0 days 01:11:14,01:11:14
E3arcuzWTU8,2020-12-07T17:00:12Z,UCArk93C2pbOvkv6jWz-3kAg,LAURA ANDERSON DATING TIPS FOR SLANEY | Open Goal Dating School,"SUBSCRIBE to Open Goal - https://bit.ly/2QGY26R

It's finally time we sorted out our man Slaney's love life and so we've enlisted the help of Love Island's Laura Anderson to steer our unlucky-in-love podcaster on where he might have been going wrong all this time.

#OpenGoal #LoveIsland #Football",Open Goal,"['open goal', 'si ferry', 'love island', 'Molly mae', 'Montana rose brown', 'jack fowler', 'love island unseen', 'Caroline flack', 'Laura whitmore', 'maura higgins', 'love island fights', 'love island usa', 'australia', 'football', 'wes', 'Tommy fury', 'celtic', 'celtic st johnstone', 'spfl', 'slaney', 'Paul slane', 'Andy halliday', 'celtic goals', 'neil lennon', 'rangers ross county', 'rangers goals', 'spfl highlights', 'open goal misses', 'true geordie', 'f2', 'copa 90', 'Maya jama', 'siannise and luke', 'celebrity', 'dating', 'tinder', 'bumble', 'hinge']",177793,3479,0,305,0 days 00:28:54,00:28:54
